f, Y1, Y2, Y3, Y4
78.0,0.00259277,0.001891471,0.001936836,0.00229565
78.2,0.002575302,0.00196905,0.001997809,0.002181337
78.4,0.002571082,0.002049581,0.002056615,0.002075875
78.6,0.002580133,0.00213527,0.002112605,0.001981483
78.8,0.002601533,0.002228236,0.002165682,0.001899676
79.0,0.002633531,0.002330197,0.002216409,0.001831277
79.2,0.002673815,0.002442173,0.002265985,0.001776508
79.4,0.002719865,0.002564261,0.002316089,0.001735119
79.6,0.002769321,0.002695496,0.002368663,0.001706529
79.8,0.002820268,0.002833877,0.002425664,0.001689959
80.0,0.002871377,0.002976571,0.002488861,0.001684557
80.2,0.00292189,0.003120288,0.002559686,0.001689508
80.4,0.002971485,0.003261758,0.002639159,0.001704113
80.6,0.003020088,0.003398229,0.002727874,0.001727836
80.8,0.003067701,0.003527835,0.002826032,0.001760306
81.0,0.003114296,0.003649789,0.002933474,0.001801261
81.2,0.003159793,0.003764354,0.003049704,0.001850451
81.4,0.003204114,0.003872621,0.003173892,0.001907521
81.6,0.00324726,0.003976172,0.003304853,0.001971905
81.8,0.003289385,0.004076723,0.003441055,0.00204276
82.0,0.003330833,0.004175814,0.003580668,0.002118968
82.2,0.003372136,0.004274623,0.003721678,0.002199213
82.4,0.003413995,0.004373893,0.003862047,0.002282116
82.6,0.003457251,0.004473966,0.003999905,0.002366399
82.8,0.003502877,0.004574848,0.004133721,0.002451046
83.0,0.003551971,0.004676276,0.004262436,0.002535428
83.2,0.003605728,0.004777752,0.004385516,0.002619384
83.4,0.003665381,0.004878539,0.004502925,0.002703242
83.6,0.003732079,0.004977644,0.004615026,0.0027878
83.8,0.00380673,0.005073795,0.004722433,0.002874262
84.0,0.003889826,0.005165414,0.00482587,0.002964143
84.2,0.003981318,0.005250613,0.004926068,0.00305915
84.4,0.004080553,0.005327208,0.005023703,0.00316104
84.6,0.004186313,0.00539278,0.005119387,0.003271476
84.8,0.004296932,0.005444819,0.00521367,0.003391868
85.0,0.004410446,0.005480945,0.005307058,0.003523234
85.2,0.004524757,0.005499202,0.005400005,0.003666073
85.4,0.004637753,0.005498379,0.005492895,0.003820294
85.6,0.004747385,0.005478292,0.005586007,0.003985194
85.8,0.004851697,0.005439959,0.005679471,0.004159511
86.0,0.004948841,0.005385612,0.005773231,0.004341534
86.2,0.005037095,0.005318545,0.005867009,0.004529235
86.4,0.005114919,0.005242793,0.005960303,0.004720402
86.6,0.005181054,0.005162706,0.006052392,0.004912715
86.8,0.005234668,0.005082461,0.006142384,0.005103788
87.0,0.005275514,0.00500556,0.006229286,0.005291148
87.2,0.005304063,0.00493441,0.006312097,0.005472222
87.4,0.005321545,0.004870056,0.006389915,0.005644334
87.6,0.005329891,0.004812177,0.00646205,0.005804782
87.8,0.005331558,0.004759392,0.006528117,0.005950997
88.0,0.005329288,0.004709856,0.006588121,0.006080792
